[2019-03-27 20:58:29] main.ERROR: Error: Application is not installed yet.  [] []
[2019-03-27 21:06:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2019-03-27 21:06:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/Magento-CE-2.2.7-2018-11-20-10-28-48/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
